"","classification","score","text"
"344","Neutral",0," rn budget airlines thailand july "
"345","Neutral",0," rn extra weight july "
"346","Neutral",0," make buy bag allowance extra weight purchased online authorized call center ticketing office low cost carrier offer water snack board "
"347","Neutral",0," rn cheap easy july "
"348","Neutral",0," rn allowed kg free loading cheap mini dessert july "
"349","Neutral",0," rn save trip july "
"350","Neutral",0," rn love delay june "
"351","Neutral",0," good remote area love delay tight schedule finde chat tourist delay screw passanger time doesnt meat pay usd cgk dps "
"352","Neutral",0," rn hostess slept june "
"353","Neutral",0," writing express concerns staff lombok denpasar june hostess slept chair entire behavior give confidence attached photo "
"354","Neutral",0," rn june "
"355","Neutral",0," rn nerve wracking june "
"356","Neutral",0," rn june "
"357","Neutral",0," rn june "
"358","Neutral",0," rn thai dmk cnx cnx dmk june "
"359","Neutral",0," rn thai june "
"360","Neutral",0," honour fly thai debut jakarta bangkok kinda surprise affiliation thailand malaysia malindo snacks drinking water "
"361","Neutral",0," lots routes indonesia low cost prices flew times problems popular flights overbooked "
"362","Neutral",0," airlane give chance fly low price trafic destination found definately recommanded tight time travel postpone travel surabaya jakarta hours "
"363","Neutral",0," rn bangkok krabi "
"364","Neutral",0," rn "
"365","Neutral",0," rn thai "
"366","Neutral",0," legroom horrible space rows staff friendly check quick free biscuit water kg luggage included paid thb hand luggage limited cm small arrived time "
"367","Neutral",0," rn fly batik airways "
"368","Neutral",0," rn "
"369","Neutral",0," rn don change nation debit credit card "
"370","Neutral",0," rn people don "
"371","Neutral",0," rn time service thai "
"372","Neutral",0," rn bit uncomfort "
"373","Neutral",0," average asian convenient travelling locally main cities thailand ground staff picky size weight luggage double check attempting check service aircraft comfort comparing cheap european airlines wizzair ryanair "
"374","Neutral",0," rn acctually flew subsidary wings april "
"375","Neutral",0," rn april "
"376","Neutral",0," flew time service awesome offered full board service lcc offered lower price ticket cut full board service flew denpasar makasar ambon route personally terrible "
"377","Neutral",0," flew busy loy krathong period time airports busy "
"378","Neutral",0," domestic expect good quality service experienced bad service looked employees mad mood entered plane big smile companies good landing airplane bad "
"379","Neutral",0," rn expectation april "
"380","Neutral",0," rn expectation april "
"381","Neutral",0," complained good comments kind aircraft flew served snack round trip "
"382","Neutral",0," rn flying singapore jakarta april "
"383","Neutral",0," rn wings march "
"384","Neutral",0," rn aircraft march "
"385","Neutral",0," low cost airlines flown boeing er good aircraft pilot experience landing delayed mnts "
"386","Neutral",0," rn pay march "
"387","Neutral",0," rn cheap low cost airliner nice crew airplanes march "
"388","Neutral",0," rn late midern aircraft march "
"389","Neutral",0," short duration daylight flights scheduling rarely time making nightvarrivals nightmare comfortable leatherette seats food drink plane "
"390","Neutral",0," rn comfy cheap march "
"391","Neutral",0," rn time march "
"392","Neutral",0," rn st choice march "
"393","Neutral",0," rn stars february "
"394","Neutral",0," rn confirtabel time february "
"395","Neutral",0," rn february "
"396","Neutral",0," rn february "
"397","Neutral",0," rn tropical february "
"398","Neutral",0," fleet aircraft boeing er model longer compared models bigger plane bigger space airlines maximise passenger load putting seats biggest compromise legroom seats recline feet tall sit knees "
"399","Neutral",0," rn february "
"400","Neutral",0," rn greatest delay february "
"401","Neutral",0," rn time february "
"402","Neutral",0," rn low cost connection february "
"403","Neutral",0," rn january "
